"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","3379","20140101","-0.1","3","4"
"TMK_MN004","3379","20140102","3.7","3","4"
"TMK_MN004","3379","20140103","6","3","4"
"TMK_MN004","3379","20140104","6.3","3","4"
"TMK_MN004","3379","20140105","4.4","3","4"
"TMK_MN004","3379","20140106","4.6","3","4"
"TMK_MN004","3379","20140107","10.1","3","4"
"TMK_MN004","3379","20140108","9.3","3","4"
"TMK_MN004","3379","20140109","9.6","3","4"
"TMK_MN004","3379","20140110","4.5","3","4"
"TMK_MN004","3379","20140111","4.9","3","4"
"TMK_MN004","3379","20140112","3.8","3","4"
"TMK_MN004","3379","20140113","2.2","3","4"
"TMK_MN004","3379","20140114","2","3","4"
"TMK_MN004","3379","20140115","2.7","3","4"
"TMK_MN004","3379","20140116","5.4","3","4"
"TMK_MN004","3379","20140117","4.8","3","4"
"TMK_MN004","3379","20140118","1.3","3","4"
"TMK_MN004","3379","20140119","1.5","3","4"
"TMK_MN004","3379","20140120","1.8","3","4"
"TMK_MN004","3379","20140121","2.2","3","4"
"TMK_MN004","3379","20140122","3.6","3","4"
"TMK_MN004","3379","20140123","3.9","3","4"
"TMK_MN004","3379","20140124","2","3","4"
"TMK_MN004","3379","20140125","1.3","3","4"
"TMK_MN004","3379","20140126","1.3","3","4"
"TMK_MN004","3379","20140127","1.9","3","4"
"TMK_MN004","3379","20140128","0.2","3","4"
"TMK_MN004","3379","20140129","-0.9","3","4"
"TMK_MN004","3379","20140130","-2","3","4"
"TMK_MN004","3379","20140131","-0.3","3","4"
"TMK_MN004","3379","20140201","1.7","3","4"
"TMK_MN004","3379","20140202","1.3","3","4"
"TMK_MN004","3379","20140203","0.2","3","4"
"TMK_MN004","3379","20140204","1.3","3","4"
"TMK_MN004","3379","20140205","2","3","4"
"TMK_MN004","3379","20140206","6.7","3","4"
"TMK_MN004","3379","20140207","7","3","4"
"TMK_MN004","3379","20140208","6.9","3","4"
"TMK_MN004","3379","20140209","4.6","3","4"
"TMK_MN004","3379","20140210","4.1","3","4"
"TMK_MN004","3379","20140211","4.9","3","4"
"TMK_MN004","3379","20140212","2.5","3","4"
"TMK_MN004","3379","20140213","5.8","3","4"
"TMK_MN004","3379","20140214","5.1","3","4"
"TMK_MN004","3379","20140215","9.9","3","4"
"TMK_MN004","3379","20140216","5.2","3","4"
"TMK_MN004","3379","20140217","5.5","3","4"
"TMK_MN004","3379","20140218","4.8","3","4"
"TMK_MN004","3379","20140219","5.7","3","4"
"TMK_MN004","3379","20140220","6.7","3","4"
"TMK_MN004","3379","20140221","5.3","3","4"
"TMK_MN004","3379","20140222","4.6","3","4"
"TMK_MN004","3379","20140223","5.4","3","4"
"TMK_MN004","3379","20140224","4.7","3","4"
"TMK_MN004","3379","20140225","6.3","3","4"
"TMK_MN004","3379","20140226","6.2","3","4"
"TMK_MN004","3379","20140227","5.5","3","4"
"TMK_MN004","3379","20140228","6.2","3","4"
"TMK_MN004","3379","20140301","3.9","3","4"
"TMK_MN004","3379","20140302","4.3","3","4"
"TMK_MN004","3379","20140303","4.5","3","4"
"TMK_MN004","3379","20140304","5","3","4"
"TMK_MN004","3379","20140305","4.8","3","4"
"TMK_MN004","3379","20140306","4.8","3","4"
"TMK_MN004","3379","20140307","5.4","3","4"
"TMK_MN004","3379","20140308","7.6","3","4"
"TMK_MN004","3379","20140309","7.8","3","4"
"TMK_MN004","3379","20140310","7.1","3","4"
"TMK_MN004","3379","20140311","6.8","3","4"
"TMK_MN004","3379","20140312","8.4","3","4"
"TMK_MN004","3379","20140313","8.4","3","4"
"TMK_MN004","3379","20140314","10.5","3","4"
"TMK_MN004","3379","20140315","8.7","3","4"
"TMK_MN004","3379","20140316","9.1","3","4"
"TMK_MN004","3379","20140317","12.3","3","4"
"TMK_MN004","3379","20140318","13","3","4"
