timestep,total_heat_loss_network,total_pump_power_network
0,4610718.548664913,[112089.94770544      0.        ]
1,4605676.883767444,[112627.16941799      0.        ]
2,4624605.58666697,[110636.43521964      0.        ]
3,4612945.446911361,[111854.25548576      0.        ]
4,4618924.065074175,[118828.38041632      0.        ]
5,4613306.310705287,[119471.07204912      0.        ]
6,4583957.49829728,[122948.08878231      0.        ]
7,4564898.740157854,[125319.41279885      0.        ]
8,4569026.452284587,[128771.25428739      0.        ]
9,4578597.979813277,[127526.40281697      0.        ]
10,4570468.960740256,[128582.33787482      0.        ]
11,4554710.743244748,[130681.51952967      0.        ]
12,4556331.665605535,[137571.51397036      0.        ]
13,4536576.652814826,[140617.84350846      0.        ]
14,4516985.528246592,[143649.10619806      0.        ]
15,4520965.532750529,[143028.27613533      0.        ]
16,4491996.971172163,[165555.94203321      0.        ]
17,4500953.048034014,[163903.43827427      0.        ]
18,4522345.536625275,[160041.21926161      0.        ]
19,4531632.348216021,[158431.11423029      0.        ]
20,4543580.75837159,[209518.05218386      0.        ]
21,4533073.155260688,[212021.3903641      0.       ]
22,4565223.010853949,[204538.95893879      0.        ]
23,4573944.809457158,[202603.40811708      0.        ]
24,4549300.851507911,[196228.20099342      0.        ]
25,4549310.989870673,[196225.98653026      0.        ]
26,4551176.195838627,[195815.24498141      0.        ]
27,4519025.046324791,[203068.07337427      0.        ]
28,4567437.322041417,[181083.49640702      0.        ]
29,4549706.710011189,[184614.746805      0.      ]
30,4537404.745426772,[187155.68221477      0.        ]
31,4516330.029953259,[191687.51662517      0.        ]
32,4488456.05428787,[219315.73979437      0.        ]
33,4514145.632491726,[212568.3637677      0.       ]
34,4494023.637197388,[217819.55743337      0.        ]
35,4469250.415085184,[224651.28650117      0.        ]
36,4460689.042624203,[245293.03783428      0.        ]
37,4484828.963814328,[237686.27235326      0.        ]
38,4478520.686318189,[239627.86070109      0.        ]
39,4518759.635298584,[227741.56530961      0.        ]
40,4504578.68812485,[222104.82454203      0.        ]
41,4519971.3640415,[217937.55891085      0.        ]
42,4508435.019573165,[221043.92585176      0.        ]
43,4500937.132623585,[223114.29160635      0.        ]
44,4493155.957589879,[225996.32096736      0.        ]
45,4503551.612905472,[223085.02693251      0.        ]
46,4486305.750441042,[227958.96351147      0.        ]
47,4499550.293725098,[224196.98639968      0.        ]
48,4497199.614341754,[202648.50571965      0.        ]
49,4514100.155848027,[198618.90941792      0.        ]
50,4495912.139989762,[202962.38518754      0.        ]
51,4514072.0069557605,[198628.46807584      0.        ]
52,4478819.198046254,[186230.59821995      0.        ]
53,4458169.559990762,[190870.04117553      0.        ]
54,4489253.188412356,[183970.01847862      0.        ]
55,4444189.214420156,[194145.40741475      0.        ]
56,4466349.077741229,[181655.27485197      0.        ]
57,4459219.894686828,[183194.50414298      0.        ]
58,4424247.827305711,[191140.20134296      0.        ]
59,4429184.38653237,[189975.81957387      0.        ]
60,4426059.493549009,[191347.80230068      0.        ]
61,4372700.725052454,[204712.06776831      0.        ]
62,4394208.780053492,[199146.28745859      0.        ]
63,4400333.919610228,[197601.11352534      0.        ]
64,4391728.678523488,[143736.13625846      0.        ]
65,4379851.2316184025,[145667.88610204      0.        ]
66,4415298.130186943,[140045.08020889      0.        ]
67,4402778.664707488,[141974.72231974      0.        ]
68,4426418.580901467,[154895.51846735      0.        ]
69,4438749.909109595,[152796.54381517      0.        ]
70,4470641.655970232,[147642.48391838      0.        ]
71,4485244.401205976,[145396.76027754      0.        ]
72,4505704.9137715185,[143362.86921283      0.        ]
73,4498927.399987464,[144367.20029348      0.        ]
74,4466878.770814327,[149295.77018468      0.        ]
75,4456227.216393658,[151008.42171477      0.        ]
76,4480876.8518164195,[160697.31271374      0.        ]
77,4495204.40130735,[158229.73717543      0.        ]
78,4504594.769209205,[156666.54766197      0.        ]
79,4530135.757802818,[152552.20760841      0.        ]
80,4522079.06536272,[152714.47397403      0.        ]
81,4511861.055463433,[154348.01195845      0.        ]
82,4526155.127365867,[152065.86386066      0.        ]
83,4465481.751347429,[162257.5888715      0.       ]
84,4474552.505971935,[153122.23405399      0.        ]
85,4478616.319169344,[152451.83216892      0.        ]
86,4487261.631358002,[151047.89439759      0.        ]
87,4469820.663859644,[153924.56772382      0.        ]
88,4450615.34324445,[157007.49242374      0.        ]
89,4493809.691870739,[149742.51082962      0.        ]
90,4504805.10657983,[147993.06147034      0.        ]
91,4492656.917813187,[149927.23054324      0.        ]
92,4491439.781004892,[128936.73781787      0.        ]
93,4462762.549300215,[133024.38011515      0.        ]
94,4451669.27355213,[134669.86587321      0.        ]
95,4443346.02853432,[135931.84271945      0.        ]
96,4437664.245905667,[136018.35025423      0.        ]
